audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,audio_features,57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,292880,4
0.748,0.939,0,-4.288,0,0.0341,0.0534,0,0.32,0.96,104.001,audio_features,1DSJNBNhGZCigg9ll5VeZv,spotify:track:1DSJNBNhGZCigg9ll5VeZv,https://api.spotify.com/v1/tracks/1DSJNBNhGZCigg9ll5VeZv,https://api.spotify.com/v1/audio-analysis/1DSJNBNhGZCigg9ll5VeZv,198067,4
0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,audio_features,6mz1fBdKATx6qP4oP1I65G,spotify:track:6mz1fBdKATx6qP4oP1I65G,https://api.spotify.com/v1/tracks/6mz1fBdKATx6qP4oP1I65G,https://api.spotify.com/v1/audio-analysis/6mz1fBdKATx6qP4oP1I65G,251733,4
0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,audio_features,70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/audio-analysis/70LcF31zb1H0PyJoS1Sx1r,238640,4
0.818,0.653,1,-8.396,1,0.204,0.0335,0.00000546,0.22,0.533,99.931,audio_features,31bf9SEOppLU6lQ85d8om6,spotify:track:31bf9SEOppLU6lQ85d8om6,https://api.spotify.com/v1/tracks/31bf9SEOppLU6lQ85d8om6,https://api.spotify.com/v1/audio-analysis/31bf9SEOppLU6lQ85d8om6,261133,4
0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,audio_features,4LJhJ6DQS7NwE7UKtvcM52,spotify:track:4LJhJ6DQS7NwE7UKtvcM52,https://api.spotify.com/v1/tracks/4LJhJ6DQS7NwE7UKtvcM52,https://api.spotify.com/v1/audio-analysis/4LJhJ6DQS7NwE7UKtvcM52,148360,4
0.853,0.606,0,-4.596,1,0.0713,0.0561,0,0.313,0.654,94.759,audio_features,3WkibOpDF7cQ5xntM1epyf,spotify:track:3WkibOpDF7cQ5xntM1epyf,https://api.spotify.com/v1/tracks/3WkibOpDF7cQ5xntM1epyf,https://api.spotify.com/v1/audio-analysis/3WkibOpDF7cQ5xntM1epyf,227600,4
0.801,0.581,5,-8.491,0,0.0681,0.0968,0.000318,0.0971,0.656,107.545,audio_features,2FK7fxjzQEXD7Z32HSF0Hl,spotify:track:2FK7fxjzQEXD7Z32HSF0Hl,https://api.spotify.com/v1/tracks/2FK7fxjzQEXD7Z32HSF0Hl,https://api.spotify.com/v1/audio-analysis/2FK7fxjzQEXD7Z32HSF0Hl,227267,4
0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,audio_features,48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,https://api.spotify.com/v1/audio-analysis/48UPSzbZjgc449aqz8bxox,329733,4
0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,audio_features,3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0,264307,4
