audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.62,0.573,0,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,audio_features,0ikz6tENMONtK6qGkOrU3c,spotify:track:0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,231333,4
0.601,0.649,7,-10.57,1,0.0554,0.0285,0.0000771,0.127,0.708,121.66,audio_features,1qV6e4ITnfGmA6m6Vklvbi,spotify:track:1qV6e4ITnfGmA6m6Vklvbi,https://api.spotify.com/v1/tracks/1qV6e4ITnfGmA6m6Vklvbi,https://api.spotify.com/v1/audio-analysis/1qV6e4ITnfGmA6m6Vklvbi,201133,4
0.762,0.651,0,-13.34,1,0.0655,0.00198,0.856,0.111,0.941,130.395,audio_features,6hHc7Pks7wtBIW8Z6A0iFq,spotify:track:6hHc7Pks7wtBIW8Z6A0iFq,https://api.spotify.com/v1/tracks/6hHc7Pks7wtBIW8Z6A0iFq,https://api.spotify.com/v1/audio-analysis/6hHc7Pks7wtBIW8Z6A0iFq,449160,4
0.752,0.723,7,-12.126,1,0.0507,0.025,0.00354,0.0212,0.94,130.519,audio_features,4uvjOKsp7mSjrDhWdkLPBY,spotify:track:4uvjOKsp7mSjrDhWdkLPBY,https://api.spotify.com/v1/tracks/4uvjOKsp7mSjrDhWdkLPBY,https://api.spotify.com/v1/audio-analysis/4uvjOKsp7mSjrDhWdkLPBY,228840,4
0.668,0.73,10,-7.182,1,0.0366,0.225,0,0.188,0.894,92.049,audio_features,2wSAWEYUHkt92X4SBAPqZE,spotify:track:2wSAWEYUHkt92X4SBAPqZE,https://api.spotify.com/v1/tracks/2wSAWEYUHkt92X4SBAPqZE,https://api.spotify.com/v1/audio-analysis/2wSAWEYUHkt92X4SBAPqZE,252773,4
0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,audio_features,7N3PAbqfTjSEU1edb2tY8j,spotify:track:7N3PAbqfTjSEU1edb2tY8j,https://api.spotify.com/v1/tracks/7N3PAbqfTjSEU1edb2tY8j,https://api.spotify.com/v1/audio-analysis/7N3PAbqfTjSEU1edb2tY8j,241600,4
0.917,0.588,10,-11.047,1,0.0607,0.195,0,0.0914,0.828,110.077,audio_features,1mCsF9Tw4AkIZOjvZbZZdT,spotify:track:1mCsF9Tw4AkIZOjvZbZZdT,https://api.spotify.com/v1/tracks/1mCsF9Tw4AkIZOjvZbZZdT,https://api.spotify.com/v1/audio-analysis/1mCsF9Tw4AkIZOjvZbZZdT,184480,4
0.857,0.468,1,-8.53,1,0.0476,0.00414,0.0000132,0.269,0.843,89.119,audio_features,4uOKFydzAejjSFqYbv1XPt,spotify:track:4uOKFydzAejjSFqYbv1XPt,https://api.spotify.com/v1/tracks/4uOKFydzAejjSFqYbv1XPt,https://api.spotify.com/v1/audio-analysis/4uOKFydzAejjSFqYbv1XPt,183733,4
0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,audio_features,66S14BkJDxgkYxLl5DCqOz,spotify:track:66S14BkJDxgkYxLl5DCqOz,https://api.spotify.com/v1/tracks/66S14BkJDxgkYxLl5DCqOz,https://api.spotify.com/v1/audio-analysis/66S14BkJDxgkYxLl5DCqOz,219467,4
0.616,0.685,9,-15.289,0,0.04,0.0245,0.0000113,0.0491,0.895,150.055,audio_features,5Hyr47BBGpvOfcykSCcaw9,spotify:track:5Hyr47BBGpvOfcykSCcaw9,https://api.spotify.com/v1/tracks/5Hyr47BBGpvOfcykSCcaw9,https://api.spotify.com/v1/audio-analysis/5Hyr47BBGpvOfcykSCcaw9,348333,4
0.461,0.936,4,-6.866,1,0.109,0.435,0.0000913,0.124,0.804,172.404,audio_features,423o3ZHIaBtGXyhF1uH41a,spotify:track:423o3ZHIaBtGXyhF1uH41a,https://api.spotify.com/v1/tracks/423o3ZHIaBtGXyhF1uH41a,https://api.spotify.com/v1/audio-analysis/423o3ZHIaBtGXyhF1uH41a,252467,4
0.74,0.923,1,-5.082,1,0.0369,0.105,0.000163,0.0825,0.93,128.871,audio_features,5LYJ631w9ps5h9tdvac7yP,spotify:track:5LYJ631w9ps5h9tdvac7yP,https://api.spotify.com/v1/tracks/5LYJ631w9ps5h9tdvac7yP,https://api.spotify.com/v1/audio-analysis/5LYJ631w9ps5h9tdvac7yP,305867,4
0.675,0.61,1,-13.811,1,0.085,0.0852,0.0188,0.159,0.344,131.037,audio_features,6t1FIJlZWTQfIZhsGjaulM,spotify:track:6t1FIJlZWTQfIZhsGjaulM,https://api.spotify.com/v1/tracks/6t1FIJlZWTQfIZhsGjaulM,https://api.spotify.com/v1/audio-analysis/6t1FIJlZWTQfIZhsGjaulM,253800,4
0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,audio_features,2Di0qFNb7ATroCGB3q0Ka7,spotify:track:2Di0qFNb7ATroCGB3q0Ka7,https://api.spotify.com/v1/tracks/2Di0qFNb7ATroCGB3q0Ka7,https://api.spotify.com/v1/audio-analysis/2Di0qFNb7ATroCGB3q0Ka7,285907,4
0.677,0.985,1,-4.678,1,0.0549,0.07,0.0000362,0.351,0.87,118.092,audio_features,6jJCk7oHNwyowOUaF3gXEu,spotify:track:6jJCk7oHNwyowOUaF3gXEu,https://api.spotify.com/v1/tracks/6jJCk7oHNwyowOUaF3gXEu,https://api.spotify.com/v1/audio-analysis/6jJCk7oHNwyowOUaF3gXEu,220227,4
0.731,0.738,9,-8.125,0,0.0377,0.184,0,0.214,0.958,117.656,audio_features,3L7RtEcu1Hw3OXrpnthngx,spotify:track:3L7RtEcu1Hw3OXrpnthngx,https://api.spotify.com/v1/tracks/3L7RtEcu1Hw3OXrpnthngx,https://api.spotify.com/v1/audio-analysis/3L7RtEcu1Hw3OXrpnthngx,236920,4
