audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.269,0.572,9,-7.361,0,0.0278,0.059,0.0000013,0.123,0.364,69.83,audio_features,4LOgi2TAAoKU9ImfzRrCPO,spotify:track:4LOgi2TAAoKU9ImfzRrCPO,https://api.spotify.com/v1/tracks/4LOgi2TAAoKU9ImfzRrCPO,https://api.spotify.com/v1/audio-analysis/4LOgi2TAAoKU9ImfzRrCPO,243360,4
0.477,0.471,6,-10.036,1,0.0277,0.193,0.00000176,0.131,0.423,81.204,audio_features,1JLn8RhQzHz3qDqsChcmBl,spotify:track:1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/tracks/1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/audio-analysis/1JLn8RhQzHz3qDqsChcmBl,304787,4
0.775,0.852,11,-4.813,1,0.0528,0.0892,0.0000235,0.823,0.836,118.561,audio_features,0wQy2OO7jKjm0OOmA7gv3f,spotify:track:0wQy2OO7jKjm0OOmA7gv3f,https://api.spotify.com/v1/tracks/0wQy2OO7jKjm0OOmA7gv3f,https://api.spotify.com/v1/audio-analysis/0wQy2OO7jKjm0OOmA7gv3f,311440,4
0.52,0.652,5,-6.655,1,0.0274,0.34,0.0000549,0.256,0.722,80.609,audio_features,6kvoHl80mfCVTv7XnZkjQn,spotify:track:6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/tracks/6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/audio-analysis/6kvoHl80mfCVTv7XnZkjQn,258787,4
0.578,0.477,1,-8.119,1,0.0228,0.448,0.00031,0.124,0.511,95.892,audio_features,1hZJcuz9iMoz6tLkFlIaUy,spotify:track:1hZJcuz9iMoz6tLkFlIaUy,https://api.spotify.com/v1/tracks/1hZJcuz9iMoz6tLkFlIaUy,https://api.spotify.com/v1/audio-analysis/1hZJcuz9iMoz6tLkFlIaUy,264213,4
0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,audio_features,08mG3Y1vljYA6bvDt4Wqkj,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj,255493,4
0.694,0.577,4,-14.63,1,0.0308,0.015,0.00836,0.0853,0.845,114.478,audio_features,0a4agFmqHXxcZl1nho1BxM,spotify:track:0a4agFmqHXxcZl1nho1BxM,https://api.spotify.com/v1/tracks/0a4agFmqHXxcZl1nho1BxM,https://api.spotify.com/v1/audio-analysis/0a4agFmqHXxcZl1nho1BxM,275733,4
0.845,0.541,1,-9.029,0,0.0748,0.0586,0.0586,0.149,0.79,117.362,audio_features,0Zn63G0XTiqXwr1KSmARWz,spotify:track:0Zn63G0XTiqXwr1KSmARWz,https://api.spotify.com/v1/tracks/0Zn63G0XTiqXwr1KSmARWz,https://api.spotify.com/v1/audio-analysis/0Zn63G0XTiqXwr1KSmARWz,334600,4
0.615,0.808,11,-6.19,1,0.0285,0.0183,0.0000172,0.0744,0.762,114.995,audio_features,7f1X6tauagdeqpfNuNOYWr,spotify:track:7f1X6tauagdeqpfNuNOYWr,https://api.spotify.com/v1/tracks/7f1X6tauagdeqpfNuNOYWr,https://api.spotify.com/v1/audio-analysis/7f1X6tauagdeqpfNuNOYWr,192147,4
0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,audio_features,5ubvP9oKmxLUVq506fgLhk,spotify:track:5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/tracks/5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/audio-analysis/5ubvP9oKmxLUVq506fgLhk,285373,4
0.68,0.701,0,-10.46,1,0.0275,0.0341,0.00479,0.114,0.824,103.789,audio_features,2W2ieVidLIx9TDvxu0ZT6F,spotify:track:2W2ieVidLIx9TDvxu0ZT6F,https://api.spotify.com/v1/tracks/2W2ieVidLIx9TDvxu0ZT6F,https://api.spotify.com/v1/audio-analysis/2W2ieVidLIx9TDvxu0ZT6F,253593,4
0.689,0.912,9,-3.673,1,0.0302,0.174,0.000243,0.298,0.982,125.94,audio_features,06rPFgQsKS607RhYIqCmGq,spotify:track:06rPFgQsKS607RhYIqCmGq,https://api.spotify.com/v1/tracks/06rPFgQsKS607RhYIqCmGq,https://api.spotify.com/v1/audio-analysis/06rPFgQsKS607RhYIqCmGq,216347,4
0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,audio_features,3vkQ5DAB1qQMYO4Mr9zJN6,spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6,https://api.spotify.com/v1/tracks/3vkQ5DAB1qQMYO4Mr9zJN6,https://api.spotify.com/v1/audio-analysis/3vkQ5DAB1qQMYO4Mr9zJN6,292613,4
0.729,0.851,7,-7.033,1,0.0362,0.13,0.000912,0.443,0.741,115.118,audio_features,78His8pbKjbDQF7aX5asgv,spotify:track:78His8pbKjbDQF7aX5asgv,https://api.spotify.com/v1/tracks/78His8pbKjbDQF7aX5asgv,https://api.spotify.com/v1/audio-analysis/78His8pbKjbDQF7aX5asgv,261267,4
0.668,0.73,10,-7.182,1,0.0366,0.225,0,0.188,0.894,92.049,audio_features,2wSAWEYUHkt92X4SBAPqZE,spotify:track:2wSAWEYUHkt92X4SBAPqZE,https://api.spotify.com/v1/tracks/2wSAWEYUHkt92X4SBAPqZE,https://api.spotify.com/v1/audio-analysis/2wSAWEYUHkt92X4SBAPqZE,252773,4
0.462,0.918,4,-8.507,1,0.0959,0.405,0.00033,0.126,0.802,172.427,audio_features,3Ud6fFep5ZlXzRWw6Sm8no,spotify:track:3Ud6fFep5ZlXzRWw6Sm8no,https://api.spotify.com/v1/tracks/3Ud6fFep5ZlXzRWw6Sm8no,https://api.spotify.com/v1/audio-analysis/3Ud6fFep5ZlXzRWw6Sm8no,249960,4
0.808,0.799,6,-8.567,0,0.0343,0.21,0.00404,0.112,0.725,106.678,audio_features,294uLZvse9DtrkOI055qrC,spotify:track:294uLZvse9DtrkOI055qrC,https://api.spotify.com/v1/tracks/294uLZvse9DtrkOI055qrC,https://api.spotify.com/v1/audio-analysis/294uLZvse9DtrkOI055qrC,247147,4
0.78,0.565,3,-7.32,0,0.0306,0.736,0.00269,0.063,0.365,101.967,audio_features,1NCuYqMc8hKMb4cpNTcJbD,spotify:track:1NCuYqMc8hKMb4cpNTcJbD,https://api.spotify.com/v1/tracks/1NCuYqMc8hKMb4cpNTcJbD,https://api.spotify.com/v1/audio-analysis/1NCuYqMc8hKMb4cpNTcJbD,322133,4
0.632,0.727,11,-11.209,0,0.0438,0.0119,0.0000764,0.0678,0.499,124.919,audio_features,0YPXkQthLWrhNGoKTbwCJ8,spotify:track:0YPXkQthLWrhNGoKTbwCJ8,https://api.spotify.com/v1/tracks/0YPXkQthLWrhNGoKTbwCJ8,https://api.spotify.com/v1/audio-analysis/0YPXkQthLWrhNGoKTbwCJ8,278627,4
0.552,0.59,9,-11.751,1,0.0399,0.00718,0.174,0.273,0.553,85.746,audio_features,6qI1KfY3nomDW1s0BrUInE,spotify:track:6qI1KfY3nomDW1s0BrUInE,https://api.spotify.com/v1/tracks/6qI1KfY3nomDW1s0BrUInE,https://api.spotify.com/v1/audio-analysis/6qI1KfY3nomDW1s0BrUInE,298293,4
