id,song_name,artist,pic_url,preview_url,release_year
5vdp5UmvTsnMEMESIF2Ym7,Another One Bites The Dust - Remastered 2011,Queen,https://i.scdn.co/image/ab67616d0000b273056e90910cbaf5c5b892aeba,,1980
4aVuWgvD0X63hcOCnZtNFA,Hold the Line,TOTO,https://i.scdn.co/image/ab67616d0000b273f903e62767a0e22e33b7af83,https://p.scdn.co/mp3-preview/11e480955e46f3b6b5c1e0b6c28db18c25c1e73e?cid=f4f54a850da14f27a6e2b44603fe8013,1978
1BqnZOkYJbvYLOhN0qPJDm,Ma Baker,Boney M.,https://i.scdn.co/image/ab67616d0000b27308240f5407fb2123e3d7b966,https://p.scdn.co/mp3-preview/e9a067c7ad958959b0499e1c625e6efc073f74a1?cid=f4f54a850da14f27a6e2b44603fe8013,1977
273uCXd7NPrInaiNqtkOrA,Tarzan Boy,Baltimora,https://i.scdn.co/image/ab67616d0000b273de82204a5baa683ce85d57cb,,1985
6yJxCltgtmGxIgKOS6ndnu,Greatest Love of All,Whitney Houston,https://i.scdn.co/image/ab67616d0000b2732ae4fcec560ab559d6f5dc88,https://p.scdn.co/mp3-preview/8449ac5104cb5baec1822898bdb8ce2979c94b57?cid=f4f54a850da14f27a6e2b44603fe8013,1985
0rHiGIRASJq8snJGFJMpnI,Kiss and Say Goodbye,The Manhattans,https://i.scdn.co/image/ab67616d0000b2734e424e935b41822a034f80aa,https://p.scdn.co/mp3-preview/7af7e6a70a8742e01921a40e790dfc375c02a47f?cid=f4f54a850da14f27a6e2b44603fe8013,1976
4jqCold0GXW9c40QyOGD8S,"Maniac - From ""Flashdance"" Soundtrack",Michael Sembello,https://i.scdn.co/image/ab67616d0000b2730225711dc520d382bf0d0b45,,2007
15ob9SMGLWrexuPuyuMjKl,Gloria,Laura Branigan,https://i.scdn.co/image/ab67616d0000b273f0f7c1d151ae7ad826643e2f,https://p.scdn.co/mp3-preview/e88fec553f052d90197209098b452821dc3f6dfc?cid=f4f54a850da14f27a6e2b44603fe8013,1995
2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,https://i.scdn.co/image/ab67616d0000b273cc57e9b00b87dd0f6e868347,https://p.scdn.co/mp3-preview/7414ae6c811dee16c467c256429c7427fbcc98d0?cid=f4f54a850da14f27a6e2b44603fe8013,1987
1ko2lVN0vKGUl9zrU0qSlT,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",https://i.scdn.co/image/ab67616d0000b273472fbc1d5743c7d3c75b9ec0,https://p.scdn.co/mp3-preview/0b8c95f421393a3fca43687498e15ad0b1e1f4d6?cid=f4f54a850da14f27a6e2b44603fe8013,1985
36EWx5B78n8sSfpmtKrUUV,She's Like the Wind (feat. Wendy Fraser),Patrick Swayze,https://i.scdn.co/image/ab67616d0000b273cb3f972145ced47e76a95c63,https://p.scdn.co/mp3-preview/7f27dce446c648224bdbd5ad7316e8003f4c1007?cid=f4f54a850da14f27a6e2b44603fe8013,2012
3bYCGWnZdLQjndiKogqA3G,Summer Of '69,Bryan Adams,https://i.scdn.co/image/ab67616d0000b273d0b17cab0d1a584d55ded42f,,1984
0ikz6tENMONtK6qGkOrU3c,Wake Me Up Before You Go-Go,Wham!,https://i.scdn.co/image/ab67616d0000b273a2fc41b0dd6ce4f0d16a4c46,https://p.scdn.co/mp3-preview/48ce25ff385552880371a3c460f0b90ecbcfceea?cid=f4f54a850da14f27a6e2b44603fe8013,1984
7oOOI85fVQvVnK5ynNMdW7,Rock with You - Single Version,Michael Jackson,https://i.scdn.co/image/ab67616d0000b2737027294551db4fda68b5ddac,https://p.scdn.co/mp3-preview/45231ae15282719f56800bb115b90eea2130866c?cid=f4f54a850da14f27a6e2b44603fe8013,1979
31DjV1FoAmfprD1NKPXH0l,Fresh - Single Version,Kool & The Gang,https://i.scdn.co/image/ab67616d0000b27355d96f0cfbf781d3ca1326c9,,2022
1z3ugFmUKoCzGsI6jdY4Ci,Like a Prayer,Madonna,https://i.scdn.co/image/ab67616d0000b2731fc9fd5d701ee05cb39b7b19,https://p.scdn.co/mp3-preview/d6f995a2eb0f481237c8c63d6bf0658f9e86f943?cid=f4f54a850da14f27a6e2b44603fe8013,2009
2gGdO0zLa9W8ce1Ig0BzFK,Somebody's Watching Me,Rockwell,https://i.scdn.co/image/ab67616d0000b2735284333459b08de72e2bda0d,,2010
5T7f35hRN3wu8V1ckMHgX0,Black Betty,Ram Jam,https://i.scdn.co/image/ab67616d0000b273aa930df6b3864f5e5c61d511,https://p.scdn.co/mp3-preview/c2be3d98da62f643e634154e835dae936d79bf90?cid=f4f54a850da14f27a6e2b44603fe8013,2011
3oEkrIfXfSh9zGnE7eBzSV,The Winner Takes It All,ABBA,https://i.scdn.co/image/ab67616d0000b2734d08fc99eff4ed52dfce91fa,,1980
5Hyr47BBGpvOfcykSCcaw9,"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,https://i.scdn.co/image/ab67616d0000b273d2675cb6847d1b1da9fc28a3,https://p.scdn.co/mp3-preview/e0e159fbfdde5340f891d688061ccfd08ff1cdab?cid=f4f54a850da14f27a6e2b44603fe8013,1986
0och9WNrIvlRhNVFg0SZux,Still Loving You,Scorpions,https://i.scdn.co/image/ab67616d0000b273d6ff618d87b23b52dc3b865c,,2006
0bVtevEgtDIeRjCJbK3Lmv,Welcome To The Jungle,Guns N' Roses,https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60,,1987
7BwwjDFcpn72BrxCCRqs7d,Pump Up The Jam - Edit,Technotronic,https://i.scdn.co/image/ab67616d0000b2738be38136da239f2300038b3a,,2011
21ScRnJyZCD7sioWBAzGML,The Eve of the War (feat. Richard Burton & Justin Hayward),Jeff Wayne,https://i.scdn.co/image/ab67616d0000b2738138fec2ac43457922a025e4,https://p.scdn.co/mp3-preview/73a9a6ccbd2a833fbc620a65b6abb05bf4a0f5ab?cid=f4f54a850da14f27a6e2b44603fe8013,1978
0MYNeFsKpzBHwrJGfWZysV,Locomotive Breath,Jethro Tull,https://i.scdn.co/image/ab67616d0000b273be6e758fe8300a72eceddb8f,https://p.scdn.co/mp3-preview/570ef74398a58f90c8a34769356800852d164301?cid=f4f54a850da14f27a6e2b44603fe8013,1971
6vlnPQP2Y8cApdOLrvYEgc,Pay Day Give Away,Bill Wilson,https://i.scdn.co/image/ab67616d0000b2730cdbd0b55ebbc6a66f4203d7,https://p.scdn.co/mp3-preview/bfcfa38275208910115a5a6887d7ea3b75befa74?cid=f4f54a850da14f27a6e2b44603fe8013,1973
1vF014C7UjaM7frVHk2WS1,Sylvia's Mother,Dr. Hook,https://i.scdn.co/image/ab67616d0000b273e95a515890aa46b8973c8efe,https://p.scdn.co/mp3-preview/5b6478e1cf2ed6afb04c8ff83d1a56d713424c28?cid=f4f54a850da14f27a6e2b44603fe8013,1976
3xloo393sWfH4LhPZceV63,Yellow River,Bobby Welch,https://i.scdn.co/image/ab67616d0000b27379ed001c08c0dab3f031e6e5,,2010
41K81NpjapePhBdIKC3QFQ,S.O.B.,Nathaniel Rateliff & The Night Sweats,https://i.scdn.co/image/ab67616d0000b273b6c27939d2189260577da262,,2015
40dA0KKRhOQW6zrvqueog0,Liar,Three Dog Night,https://i.scdn.co/image/ab67616d0000b2737047e2284f51f35de225d36e,,2003
0qdQUeKVyevrbKhAo0ibxS,My Sweet Lord - Remastered 2014,George Harrison,https://i.scdn.co/image/ab67616d0000b273acc11d868a59008935e72299,,1970
6l8oNVFkqdG5kDBv0DalCU,"It's All Over Now, Baby Blue (feat. Van Morrison)",Them,https://i.scdn.co/image/ab67616d0000b273eca243f1c19c2d42dd7d5d50,https://p.scdn.co/mp3-preview/01b4e93552b1dba3f0dc8fb57ee6b2008c343676?cid=f4f54a850da14f27a6e2b44603fe8013,1966
5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,Led Zeppelin,https://i.scdn.co/image/ab67616d0000b273c8a11e48c91a982d086afc69,https://p.scdn.co/mp3-preview/337c8d45ac66899bc2db9ef3ed9438fe1d035ab1?cid=f4f54a850da14f27a6e2b44603fe8013,1971
5fcxVCOtfesNzI2n4Y4kiJ,Jackson,Johnny Cash,https://i.scdn.co/image/ab67616d0000b273542d4d1ff8b8e669cc676ebe,https://p.scdn.co/mp3-preview/4023db64db3cde2ac2db58cff1a44c1850569f7a?cid=f4f54a850da14f27a6e2b44603fe8013,1967
1xADYlM5rjnbJvAW2tc0qF,Ain't No Grave,Johnny Cash,https://i.scdn.co/image/ab67616d0000b27343d978694566927455ced3c6,,2010
